"","ID","GroupID","email","meet","event","proj","read","write","other","ORG","Detail","face.to.face","values","language","scientific","human.resources","financial.resources"
"1","006a558bad564f95a483d151fb8648a4","G.ECB",1,1,0,0,1,0,0,"Mason County","Public Health",5,5,5,5,2,3
"2","006a558bad564f95a483d151fb8648a4","G.ECO.HOOD",1,0,0,0,0,0,0,"Mason County","Public Health",3,4,4,4,2,3
"3","006a558bad564f95a483d151fb8648a4","G.ECO.MASON",1,1,0,0,0,0,0,"Mason County","Public Health",3,4,4,4,2,3
"4","006a558bad564f95a483d151fb8648a4","G.LIO.HOOD",1,1,0,0,1,0,0,"Mason County","Public Health",5,4,4,4,2,4
"5","006a558bad564f95a483d151fb8648a4","G.LIO.SOUTHSOUND",1,1,0,0,1,0,0,"Mason County","Public Health",5,4,5,4,2,4
"6","006a558bad564f95a483d151fb8648a4","G.LOC.HOOD",1,1,0,0,0,0,0,"Mason County","Public Health",4,4,4,3,2,4
"7","006a558bad564f95a483d151fb8648a4","G.OTHER.1",1,1,1,1,1,1,1,"Mason County","Public Health",NA,NA,NA,NA,NA,NA
"8","009ec89ea5b0427d892cd9878eaa9eee","G.ENVIRO",1,1,0,0,1,0,0,"Surfrider Foundation","",4,5,4,4,4,2
"9","009ec89ea5b0427d892cd9878eaa9eee","G.OTHER.1",1,1,1,1,1,1,1,"Surfrider Foundation","",NA,NA,NA,NA,NA,NA
"10","00ab64d810b149b084e9fb7d7299e17d","G.ECO.SJ",1,1,0,1,1,0,0,"NPS","San Juan Island National Historic Park",5,5,4,4,3,3
"11","0120571cfc1c4ba4aa286b52d0d05a70","G.ECO.SKAGIT",1,0,0,1,1,0,1,"Skagit Land Trust","",2,4,2,2,2,4
"12","0120571cfc1c4ba4aa286b52d0d05a70","G.LOC.SKAGIT",1,0,1,1,0,0,0,"Skagit Land Trust","",1,4,5,5,-77,-99
"13","0120571cfc1c4ba4aa286b52d0d05a70","G.MRC.SKAGIT",1,1,1,1,1,0,0,"Skagit Land Trust","",1,4,4,4,4,4
"14","0120571cfc1c4ba4aa286b52d0d05a70","G.OTHER.1",1,1,1,1,1,1,1,"Skagit Land Trust","",NA,NA,NA,NA,NA,NA
"15","0120571cfc1c4ba4aa286b52d0d05a70","G.OTHER.2",1,0,1,1,1,1,0,"Skagit Land Trust","",1,5,4,5,4,4
